date,exercise,weight,reps,sets
2023-01-02,Bench Press,70,7,3
2023-01-02,Neutral Grip Lat Pulldown,65,12,4
2023-01-02,Overhead Press,42.5,5,4
2023-01-02,Rope Pushdown,22.5,6,3
2023-01-02,Weighted Chin-up (added weight),0,4,3
2023-01-04,Deadlift,105,6,3
2023-01-04,Weighted Dip (added weight),0,3,4
2023-01-06,Leg Extension,55,12,4
2023-01-06,Smith Machine Calf Raise,80,5,3
2023-01-06,Squat,82.5,8,3
2023-01-09,Bench Press,77.5,6,3
2023-01-09,Neutral Grip Lat Pulldown,65,6,3
2023-01-09,Overhead Press,42.5,7,3
2023-01-09,Rope Pushdown,22.5,8,4
2023-01-09,Weighted Chin-up (added weight),0,5,3
2023-01-11,Barbell Curl,27.5,12,3
2023-01-11,Barbell Row,60,5,4
2023-01-11,Weighted Dip (added weight),0,7,4
2023-01-13,Leg Extension,55,6,4
2023-01-13,Smith Machine Calf Raise,80,5,3
2023-01-13,Squat,80,7,4
2023-01-16,Bench Press,77.5,8,3
2023-01-16,Overhead Press,45,8,4
2023-01-16,Rope Pushdown,22.5,10,4
2023-01-18,Barbell Curl,27.5,8,3
2023-01-18,Deadlift,107.5,8,3
2023-01-20,Leg Extension,57.5,12,3
2023-01-20,Leg Press,145,12,3
2023-01-20,Smith Machine Calf Raise,85,5,4
2023-01-23,Bench Press,77.5,7,3
2023-01-23,Neutral Grip Lat Pulldown,67.5,12,3
2023-01-23,Overhead Press,45,5,3
2023-01-23,Rope Pushdown,25,12,3
2023-01-23,Weighted Chin-up (added weight),0,7,3
2023-01-25,Barbell Curl,27.5,12,3
2023-01-25,Barbell Row,62.5,7,4
2023-01-27,Leg Extension,55,8,3
2023-01-27,Leg Press,140,5,3
2023-01-27,Smith Machine Calf Raise,85,10,3
2023-01-27,Squat,80,5,3
2023-01-30,Bench Press,77.5,8,3
2023-01-30,Neutral Grip Lat Pulldown,70,5,3
2023-01-30,Overhead Press,45,6,3
2023-01-30,Rope Pushdown,22.5,6,3
2023-01-30,Weighted Chin-up (added weight),0,6,4
2023-02-01,Barbell Row,62.5,5,4
2023-02-01,Deadlift,112.5,6,4
2023-02-03,Smith Machine Calf Raise,85,6,4
2023-02-03,Squat,85,5,3
2023-02-06,Bench Press,75,5,4
2023-02-06,Neutral Grip Lat Pulldown,67.5,5,3
2023-02-06,Overhead Press,47.5,8,4
